Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
124268,797161664,679347,679347,0,43.3,1298.02,1000,0,0,0,0,0,0,0,12,117967,21,14,22,11,160435120,28560,19040,10.3283,1000,0,0,0,0
125316,797161664,679347,679347,0,44.313,1286.6,1000,0,0,0,0,0,0,0,12,118965,21,14,22,11,161792400,28560,19040,10.3285,1000,0,0,0,0
126365,797161664,679347,679347,0,43.846,1210.09,1000,0,0,0,0,0,0,0,12,119962,21,14,22,11,163148320,28560,19040,10.3286,1000,0,0,0,0
127424,797161664,679347,679347,0,43.711,1483.52,1000,0,0,0,0,0,0,0,12,120964,21,14,22,11,164511040,28560,19040,10.3283,1000,0,0,0,0
128473,797161664,679347,679347,0,44.024,1693.44,1000,0,0,0,0,0,0,0,12,121966,21,14,22,11,165873760,28560,19040,10.3289,1000,0,0,0,0
129530,797161664,679347,679347,0,44.894,2131.28,1000,0,0,0,0,0,0,0,12,122968,21,14,22,11,167236480,28560,19040,10.3288,1000,0,0,0,0
130577,797161664,679347,679347,0,44.33,1592.15,1000,0,0,0,0,0,0,0,12,123961,21,14,22,11,168586960,28560,19040,10.3287,1000,0,0,0,0
131638,797161664,679347,679347,0,43.473,1264.37,1000,0,0,0,0,0,0,0,12,124973,21,14,22,11,169963280,28560,19040,10.3291,1000,0,0,0,0
132681,797161664,679347,679347,0,44.714,1512.9,1000,0,0,0,0,0,0,0,12,125960,21,14,22,11,171305600,28560,19040,10.3289,1000,0,0,0,0
133741,797161664,679347,679347,0,43.716,1342.48,1000,0,0,0,0,0,0,0,12,126968,21,14,22,11,172676480,28560,19040,10.3289,1000,0,0,0,0
134792,797161664,679347,679347,0,43.498,1626.02,1000,0,0,0,0,0,0,0,12,127969,21,14,22,11,174037840,28560,19040,10.3292,1000,0,0,0,0
135843,797161664,679347,679347,0,43.627,2045.03,1000,0,0,0,0,0,0,0,12,128964,21,14,22,11,175391040,28560,19040,10.329,1000,0,0,0,0
136892,797161664,679347,679347,0,43.187,1600.01,1000,0,0,0,0,0,0,0,12,129963,21,14,22,11,176749680,28560,19040,10.3292,1000,0,0,0,0
137954,797161664,679347,679347,0,43.805,1360.55,1000,0,0,0,0,0,0,0,12,130970,21,14,22,11,178119200,28560,19040,10.3291,1000,0,0,0,0
